experiment,net,kind,algorithm,feature_augmentation,data_augmentation,hair_removal,segmentation,class,model_idx,class_idx,class_name,precision,recall,f1_score,support
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,45,7,3,df,1.0,0.1176470588235294,0.2105263157894736,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,46,7,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,47,7,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,48,7,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,49,8,0,akiec,0.8571428571428571,0.1224489795918367,0.2142857142857142,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,50,8,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,51,8,2,bkl,0.5413223140495868,0.793939393939394,0.6437346437346437,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,52,8,3,df,1.0,0.1176470588235294,0.2105263157894736,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,53,8,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,54,8,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,55,8,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,56,9,0,akiec,0.8571428571428571,0.1224489795918367,0.2142857142857142,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,57,9,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,58,9,2,bkl,0.5413223140495868,0.793939393939394,0.6437346437346437,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,59,9,3,df,1.0,0.1176470588235294,0.2105263157894736,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,60,9,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,61,9,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,62,9,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,63,10,0,akiec,0.8571428571428571,0.1224489795918367,0.2142857142857142,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,64,10,1,bcc,0.8615384615384616,0.7272727272727273,0.7887323943661971,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,65,10,2,bkl,0.5413223140495868,0.793939393939394,0.6437346437346437,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,66,10,3,df,1.0,0.1176470588235294,0.2105263157894736,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,67,10,4,mel,0.6611111111111111,0.7125748502994012,0.6858789625360231,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,68,10,5,nv,0.929493545183714,0.9304174950298212,0.9299552906110284,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,adaboost,True,False,False,False,69,10,6,vasc,0.0,0.0,0.0,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,0,1,0,akiec,0.7592592592592593,0.8367346938775511,0.7961165048543689,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,1,1,1,bcc,0.8,0.8831168831168831,0.8395061728395061,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,2,1,2,bkl,0.7371428571428571,0.7818181818181819,0.7588235294117647,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,3,1,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,4,1,4,mel,0.7484662576687117,0.7305389221556886,0.7393939393939394,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,5,1,5,nv,0.9515151515151516,0.9363817097415508,0.9438877755511024,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,6,1,6,vasc,1.0,0.9090909090909092,0.9523809523809524,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,7,2,0,akiec,0.7692307692307693,0.8163265306122449,0.7920792079207921,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,8,2,1,bcc,0.8117647058823529,0.8961038961038961,0.8518518518518519,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,9,2,2,bkl,0.7572254335260116,0.793939393939394,0.7751479289940828,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,10,2,3,df,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,11,2,4,mel,0.754601226993865,0.7365269461077845,0.7454545454545455,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,12,2,5,nv,0.9526686807653576,0.9403578528827038,0.9464732366183092,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,13,2,6,vasc,1.0,0.9090909090909092,0.9523809523809524,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,14,3,0,akiec,0.7636363636363637,0.8571428571428571,0.8076923076923077,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,15,3,1,bcc,0.8,0.8831168831168831,0.8395061728395061,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,16,3,2,bkl,0.7514450867052023,0.7878787878787878,0.7692307692307693,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,17,3,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,18,3,4,mel,0.7560975609756098,0.7425149700598802,0.7492447129909365,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,19,3,5,nv,0.9525252525252526,0.937375745526839,0.9448897795591182,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,20,3,6,vasc,1.0,0.9090909090909092,0.9523809523809524,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,21,4,0,akiec,0.7547169811320755,0.8163265306122449,0.7843137254901961,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,22,4,1,bcc,0.7816091954022989,0.8831168831168831,0.8292682926829268,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,23,4,2,bkl,0.7344632768361582,0.7878787878787878,0.7602339181286549,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,24,4,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,25,4,4,mel,0.7639751552795031,0.7365269461077845,0.75,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,26,4,5,nv,0.9534883720930232,0.937375745526839,0.9453634085213032,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,27,4,6,vasc,1.0,0.9090909090909092,0.9523809523809524,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,28,5,0,akiec,0.7592592592592593,0.8367346938775511,0.7961165048543689,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,29,5,1,bcc,0.7906976744186046,0.8831168831168831,0.8343558282208589,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,30,5,2,bkl,0.7558139534883721,0.7878787878787878,0.771513353115727,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,31,5,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,32,5,4,mel,0.7425149700598802,0.7425149700598802,0.7425149700598802,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,33,5,5,nv,0.9534883720930232,0.937375745526839,0.9453634085213032,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,34,5,6,vasc,1.0,0.8636363636363636,0.926829268292683,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,35,6,0,akiec,0.75,0.8571428571428571,0.8,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,36,6,1,bcc,0.8023255813953488,0.8961038961038961,0.8466257668711656,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,37,6,2,bkl,0.7514450867052023,0.7878787878787878,0.7692307692307693,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,38,6,3,df,0.8666666666666667,0.7647058823529411,0.8125,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,39,6,4,mel,0.7530120481927711,0.7485029940119761,0.7507507507507507,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,40,6,5,nv,0.9533941236068896,0.9353876739562624,0.9443050677370798,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,41,6,6,vasc,1.0,0.9090909090909092,0.9523809523809524,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,42,7,0,akiec,0.7735849056603774,0.8367346938775511,0.803921568627451,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,43,7,1,bcc,0.7931034482758621,0.8961038961038961,0.8414634146341463,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,44,7,2,bkl,0.7558139534883721,0.7878787878787878,0.771513353115727,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,45,7,3,df,0.7647058823529411,0.7647058823529411,0.7647058823529411,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,46,7,4,mel,0.7701863354037267,0.7425149700598802,0.7560975609756098,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,47,7,5,nv,0.9536757301107754,0.941351888667992,0.9474737368684342,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,48,7,6,vasc,1.0,0.9090909090909092,0.9523809523809524,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,49,8,0,akiec,0.7636363636363637,0.8571428571428571,0.8076923076923077,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,50,8,1,bcc,0.7906976744186046,0.8831168831168831,0.8343558282208589,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,51,8,2,bkl,0.7542857142857143,0.8,0.7764705882352941,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,52,8,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,53,8,4,mel,0.7639751552795031,0.7365269461077845,0.75,167.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,54,8,5,nv,0.9525252525252526,0.937375745526839,0.9448897795591182,1006.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,55,8,6,vasc,1.0,0.9090909090909092,0.9523809523809524,22.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,56,9,0,akiec,0.7368421052631579,0.8571428571428571,0.7924528301886793,49.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,57,9,1,bcc,0.8192771084337349,0.8831168831168831,0.85,77.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,58,9,2,bkl,0.7514450867052023,0.7878787878787878,0.7692307692307693,165.0
feature_extraction_Xception_use_augmentation_use_feature_augmentation_,Xception,feature_extractor,extratrees,True,False,False,False,59,9,3,df,0.8125,0.7647058823529411,0.7878787878787878,17.0
